asr_iou,client_id,eta_approx,method,post_clean_accuracy,predicted_labels,scenario,scores,true_labels
1.0,6,3.0649977849345693,federaser,0.971,[0],sample,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,0,10.629980761838866,federaser,0.972,[0],sample,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,8,1.9490988412506924,federaser,0.936,[0],sample,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,9,4.651455659142766,federaser,0.969,[0],sample,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,8,2.1853473147934355,federaser,0.936,[0],sample,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,0,11.699095997757452,federaser,0.972,[0],sample,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,5,2.702390871471669,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,8,1.4177938188354218,federaser,0.936,[0],sample,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,7,7.296190989474962,federaser,0.972,[0],sample,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,5,3.0706719675792726,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,5,1.9775905062837769,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,5,2.421669446980013,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,5,2.9439119299113403,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,2,4.211356567937852,federaser,0.972,[0],sample,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,1,7.095105786634667,federaser,0.972,[0],sample,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,7,5.104179535237973,federaser,0.972,[0],sample,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,5,1.9374888425802175,federaser,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,6,5.916792189390083,federaser,0.971,[0],sample,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,1,10.14680087094233,federaser,0.972,[0],sample,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,0,8.930555807839008,federaser,0.972,[0],sample,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,0,10.203733252793562,federaser,0.972,[0],sample,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,4,2.0292836545252366,federaser,0.965,[0],sample,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
1.0,8,1.5723438502778557,federaser,0.936,[0],sample,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,2,4.911785607824386,federaser,0.972,[0],sample,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,9,4.20509183229983,federaser,0.969,[0],sample,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,4,2.0727986407718877,federaser,0.965,[0],sample,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
