experiment,experiment_description,metric_focus,scenario,dataset,partition,dirichlet_alpha,model,train_size,test_size,num_clients,malicious_clients,global_rounds,local_epochs,attack,attack_scale,poison_fraction,trigger_pattern,trigger_position,public_source,public_fraction,method,clean_acc,clean_loss,asr,runtime_sec,method_note,history_storage_mb,fedrecover_warmup_rounds,fedrecover_requested_warmup_rounds,fedrecover_warmup_adjusted_to_satisfy_Tw_gt_s,fedrecover_correction_period,fedrecover_final_tuning_rounds,fedrecover_requested_final_tuning_rounds,fedrecover_lbfgs_buffer_size,fedrecover_tau,fedrecover_tolerance_rate,fedrecover_update_convention,exact_rounds,estimated_rounds,periodic_rounds,final_tuning_rounds,exact_client_updates,estimated_client_updates,abnormality_fixes,fallback_exact_updates,train_from_scratch_client_updates,average_cost_saving_percentage,crab_adaptive_rollback_round,crab_sensitivity_threshold,crab_cumulative_sensitivity,crab_cumulative_retained_norm,crab_sensitivity_considered_rounds,crab_rollback_policy,selected_rounds,selected_round_ids,used_clients,skipped_rounds,calibration_rounds,selected_clients_by_round,remaining_selected_clients_by_round,crab_windows,crab_num_windows,crab_train_loss_first,crab_train_loss_last,crab_select_round_ratio,crab_select_client_ratio,crab_loss_drop_alpha,crab_removed_client_source,crab_removed_clients,crab_recovery_mode,fedup_rate_limit_rounds,fedup_last_unlearning_round,fedup_detection_round,fedup_rate_limit_allowed,fedup_reference_history_index,fedup_reference_round,fedup_local_model_source,fedup_update_convention,fedup_similarity,fedup_similarity_z,fedup_similarity_source,fedup_p_min,fedup_p_max,fedup_gamma,fedup_detection_source,fedup_remaining_source,fedup_global_before_source,fedup_detected_unlearn_clients,fedup_remaining_clients,fedup_unlearn_last_round,fedup_remaining_last_round,fedup_benign_majority_assumption_ok,pruned_params,prunable_params,total_params,prune_ratio,fedup_prune_policy,fedup_layer_pruned,fedup_recovery_rounds,fedup_recovery_round_bound,fedup_recovery_round_policy,fedup_recovery_optimizer,fedup_recovery_lr,fedup_recovery_local_epochs,fedup_last_round_storage_bytes,fedup_last_round_storage_mb,detected_malicious,fedsweep_true_malicious,fedsweep_precision,fedsweep_recall,fedsweep_true_positive,fedsweep_false_positive,fedsweep_false_negative,fedsweep_entropies,fedsweep_entropy_norm,fedsweep_clusters,fedsweep_updated_credit,fedsweep_trigger_loss,fedsweep_trigger_ce,fedsweep_trigger_reg,fedsweep_trigger_l1_norm,fedsweep_trigger_tv_loss,fedsweep_trigger_delta_mean,fedsweep_trigger_delta_max,fedsweep_trigger_active_pixels,fedsweep_trigger_generator,fedsweep_trigger_position,fedsweep_credit_usage,fedsweep_trigger_success,fedsweep_unlearned_clients,fedsweep_unlearn_epochs,fedsweep_unlearn_lr,fedsweep_feature_weight,fedsweep_clean_weight,fedsweep_reference_history_index,fedsweep_defense_round,fedsweep_reference_round,fedsweep_reference_clients,fedsweep_local_model_source,fedsweep_paper_faithful_step4_loader,unlearning_backdoor_step1,unlearning_backdoor_step2,unlearning_backdoor_alpha,unlearning_backdoor_temperature,unlearning_backdoor_kd_epochs,unlearning_backdoor_kd_lr,unlearning_backdoor_optimizer,unlearning_backdoor_public_batches,unlearning_backdoor_kd_mean_loss,unlearning_backdoor_kd_mean_kl,unlearning_backdoor_kd_mean_ce,ul_subtract_clean_acc,ul_subtract_clean_loss,ul_subtract_asr,removed_clients,removed_client_source,aggregation_warning,removed_update_count,attacker_participating_rounds,sum_removed_update_norms,removed_norm,stored_client_summaries,removed_norm_client_0,removed_norm_client_1,removed_norm_client_2,removed_norm_client_3,fast_unlearning_order,fast_weighted_contribution,fast_over_unlearning_tolerance,fast_accepted_rounds,fast_considered_rounds,fast_stopped_early,fast_stop_round,fast_removed_norm,fast_benchmark_acc_before_extra,fast_benchmark_loss_before_extra,fast_step_trace,fast_target_clients,fast_target_client_source,fast_extra_epochs,fast_extra_lr,fast_extra_optimizer,true_malicious,mcc_detection_precision,mcc_detection_recall,mcc_detection_tp,mcc_detection_fp,mcc_detection_fn,mcc_detection_policy,mcc_detection_scores,mcc_initial_K,mcc_final_K,mcc_tau,mcc_per_client_K,mcc_noise_std,mcc_alpha,mcc_regularization_scale,mcc_regularization_mode,mcc_unlearn_rounds_run,mcc_unlearn_rounds_max,mcc_stopped_by_tau,mcc_stop_round,mcc_benign_clients_used,mcc_contribution_init,mcc_contribution_removed_norm,mcc_contribution_removed_updates,mcc_K_trace,mcc_round_trace
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.972,0.07974203618367513,0.9992695398100804,147.54378370000632,trained_with_malicious_clients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.9713333333333334,0.08892315165201822,0.0029218407596785976,109.45695430002525,,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.9706666666666667,0.08922501881917318,0.0007304601899196494,69.24760089998017,fedrecover_paper_faithful_lbfgs_warmup_periodic_abnormality_final_tuning,484.6160888671875,20,20,False,10,6,6,2,0.2321677953004837,1e-06,delta,29,31,3,6,473,496,9,0,960,50.72916666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.948,0.17792602030436197,0.0007304601899196494,86.92162409998127,official_crab_selection_adaptive_rollback_norm_calibrated_update_recovery,484.6160888671875,,,,,,,,,,,,,,,,,,,,,0,0.05,1.6193250697106123,7.979060731828213,34,latest_round_under_cumulative_beta_bound,34,"0,2,3,4,5,6,7,8,9,11,13,15,17,21,24,25,27,28,29,32,34,35,37,38,40,43,44,45,46,51,53,54,55,58",401,0,34,"0:9,17,11,14,15,10,19,1,4,0,3,2,12,6;2:9,17,15,10,14,12,6,11,19,16,13,18,4,5;3:9,10,15,12,14,18,17,8,5,16,6,11,4,19;4:9,15,10,11,16,12,14,5,18,19,0,6,17,8;5:15,10,11,9,16,18,5,19,14,12,0,6,8,1;6:9,10,15,16,19,11,14,12,18,5,0,6,4,8;7:9,15,14,11,10,12,19,16,18,5,0,1,6,4;8:9,15,11,14,10,19,18,5,16,12,0,1,17,6;9:9,15,14,11,10,16,18,19,5,12,4,6,17,0;11:9,14,11,15,16,12,10,18,19,17,5,0,1,6;13:14,5,15,11,12,18,9,16,10,19,7,4,1,8;15:14,15,11,9,5,10,1,12,18,0,19,16,2,17;17:9,10,15,11,14,5,1,12,19,18,0,16,7,8;21:11,14,15,10,9,12,5,16,2,18,19,13,8,0;24:15,11,14,5,2,1,9,12,10,19,0,18,17,7;25:14,8,9,16,15,5,12,10,19,7,18,1,17,11;27:9,14,15,10,11,19,0,5,4,3,1,18,12,17;28:15,10,11,12,5,9,14,1,7,0,8,18,19,16;29:15,9,11,10,14,19,18,17,16,1,5,0,6,8;32:12,14,5,4,11,15,16,6,19,1,7,0,9,10;34:14,10,15,11,5,12,9,1,19,0,18,3,16,2;35:5,2,7,10,0,12,9,8,13,6,18,14,11,4;37:11,14,12,5,15,16,19,9,10,17,4,0,18,1;38:14,15,1,17,7,12,5,9,19,10,11,3,6,8;40:12,0,5,1,2,17,6,4,15,14,19,7,16,9;43:5,1,11,19,10,0,16,14,12,3,18,15,9,8;44:5,9,10,14,15,12,0,11,4,18,13,19,16,8;45:14,17,15,9,12,0,1,10,11,6,2,18,3,5;46:3,19,0,11,16,5,1,12,18,15,14,8,4,10;51:5,12,10,3,9,11,14,1,0,19,15,16,18,13;53:18,10,0,9,5,19,12,1,4,17,11,7,14,16;54:5,15,0,14,18,11,19,1,3,17,10,9,16,12;55:5,14,12,15,1,10,19,0,4,7,17,16,2,9;58:4,12,7,0,14,3,5,10,6,15,18,19,1,2","0:9,17,11,14,15,10,19,4,12,6;2:9,17,15,10,14,12,6,11,19,16,13,18,4,5;3:9,10,15,12,14,18,17,8,5,16,6,11,4,19;4:9,15,10,11,16,12,14,5,18,19,6,17,8;5:15,10,11,9,16,18,5,19,14,12,6,8;6:9,10,15,16,19,11,14,12,18,5,6,4,8;7:9,15,14,11,10,12,19,16,18,5,6,4;8:9,15,11,14,10,19,18,5,16,12,17,6;9:9,15,14,11,10,16,18,19,5,12,4,6,17;11:9,14,11,15,16,12,10,18,19,17,5,6;13:14,5,15,11,12,18,9,16,10,19,7,4,8;15:14,15,11,9,5,10,12,18,19,16,17;17:9,10,15,11,14,5,12,19,18,16,7,8;21:11,14,15,10,9,12,5,16,18,19,13,8;24:15,11,14,5,9,12,10,19,18,17,7;25:14,8,9,16,15,5,12,10,19,7,18,17,11;27:9,14,15,10,11,19,5,4,18,12,17;28:15,10,11,12,5,9,14,7,8,18,19,16;29:15,9,11,10,14,19,18,17,16,5,6,8;32:12,14,5,4,11,15,16,6,19,7,9,10;34:14,10,15,11,5,12,9,19,18,16;35:5,7,10,12,9,8,13,6,18,14,11,4;37:11,14,12,5,15,16,19,9,10,17,4,18;38:14,15,17,7,12,5,9,19,10,11,6,8;40:12,5,17,6,4,15,14,19,7,16,9;43:5,11,19,10,16,14,12,18,15,9,8;44:5,9,10,14,15,12,11,4,18,13,19,16,8;45:14,17,15,9,12,10,11,6,18,5;46:19,11,16,5,12,18,15,14,8,4,10;51:5,12,10,9,11,14,19,15,16,18,13;53:18,10,9,5,19,12,4,17,11,7,14,16;54:5,15,14,18,11,19,17,10,9,16,12;55:5,14,12,15,10,19,4,7,17,16,9;58:4,12,7,14,5,10,6,15,18,19","start=0,end=2,start_loss=2.306122,end_loss=1.540337,selected=0;start=2,end=3,start_loss=1.540337,end_loss=1.015041,selected=2;start=3,end=4,start_loss=1.015041,end_loss=0.785654,selected=3;start=4,end=5,start_loss=0.785654,end_loss=0.596894,selected=4;start=5,end=6,start_loss=0.596894,end_loss=0.516629,selected=5;start=6,end=7,start_loss=0.516629,end_loss=0.431560,selected=6;start=7,end=8,start_loss=0.431560,end_loss=0.374087,selected=7;start=8,end=9,start_loss=0.374087,end_loss=0.325959,selected=8;start=9,end=11,start_loss=0.325959,end_loss=0.267286,selected=9;start=11,end=13,start_loss=0.267286,end_loss=0.228968,selected=11;start=13,end=15,start_loss=0.228968,end_loss=0.204062,selected=13;start=15,end=17,start_loss=0.204062,end_loss=0.183266,selected=15;start=17,end=20,start_loss=0.183266,end_loss=0.161320,selected=17;start=20,end=23,start_loss=0.161320,end_loss=0.143323,selected=21;start=23,end=27,start_loss=0.143323,end_loss=0.128954,selected=25,24;start=27,end=32,start_loss=0.128954,end_loss=0.114715,selected=29,27,28;start=32,end=37,start_loss=0.114715,end_loss=0.100783,selected=34,35,32;start=37,end=43,start_loss=0.100783,end_loss=0.090183,selected=37,38,40;start=43,end=50,start_loss=0.090183,end_loss=0.080229,selected=45,43,46,44;start=50,end=58,start_loss=0.080229,end_loss=0.070760,selected=53,51,55,54;start=58,end=59,start_loss=0.070760,end_loss=0.071217,selected=58",21,2.3061221485773724,0.07121651179641485,0.6,0.7,0.1,detected_malicious_clients,"0,1,2,3",adaptive_rollback_chained_selective_recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.96,0.1282147979736328,0.01241782322863404,16.917149599990807,fedup_algorithm1_algorithm2_detected_clients_autoP_rate_limit_recovery,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-1000000000,59,1,59,59,local_model_vectors,model,0.9994101475299613,0.9988202950599225,model,0.01,0.15,5.0,context_detector_output,all_clients_minus_detected,record_global_before,4,16,4,16,1,15777,105744,105866,0.14917615263002545,auto_similarity_paper_formula,"{'features.0.weight': 22, 'features.3.weight': 688, 'classifier.1.weight': 14971, 'classifier.3.weight': 96}",9,9,paper_bound_ceil_Rstar_times_P,adam,0.001,2,8892744,8.480781555175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9613333333333334,0.1333639678955078,0.0014609203798392988,6.187455899984343,strict_v3_1_fedsweep_trigger_inversion_entropy_credit_weighted_kmeans_feature_unlearning_formal_aggregation,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17;0;9;6;19;3;1;11,0;1;2;3,0.375,0.75,3,5,1,0:0.003986;1:0.007448;2:0.022112;3:0.007292;4:0.027772;5:0.031907;6:0.006082;7:0.030189;8:0.018579;9:0.005496;10:0.020851;11:0.011736;12:0.029014;13:0.044910;14:0.020730;15:0.035845;16:0.032599;17:0.002635;18:0.018935;19:0.007133,0:0.032;1:0.114;2:0.461;3:0.110;4:0.595;5:0.692;6:0.082;7:0.652;8:0.377;9:0.068;10:0.431;11:0.215;12:0.624;13:1.000;14:0.428;15:0.786;16:0.709;17:0.000;18:0.386;19:0.106,0:0;1:0;2:0;3:0;4:1;5:1;6:0;7:1;8:0;9:0;10:0;11:0;12:1;13:1;14:0;15:1;16:1;17:0;18:0;19:0,0:0.900;1:0.900;2:1.000;3:0.900;4:1.000;5:1.000;6:0.900;7:1.000;8:1.000;9:0.900;10:1.000;11:0.900;12:1.000;13:1.000;14:1.000;15:1.000;16:1.000;17:0.900;18:1.000;19:0.900,0.02878863550722599,0.014714201912283897,0.014074433594942093,14.074433326721191,0.009423349052667618,0.01795208267867565,0.8868675827980042,16,patch,bottom_right,feature_and_sample_weight,1,8,2,0.003,0.3,2.0,59,-1,59,20,stored_history_record,public_clean_loader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.9693333333333334,0.10093945376078288,0.0007304601899196494,0.7399276999931317,paper_faithful_historical_update_subtraction_plus_clean_kd,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL-Subtract,UL-Distill,1.0,2.0,4,0.02,sgd,96,0.16736429572726289,0.16736429572726289,0.0,0.5946666666666667,3.0336781005859375,0.0,0;1;2;3,detected_malicious_clients,,240.0,60.0,3.920670098857954,1.967323899269104,4.0,0.7996885776519775,0.9892842769622803,0.4205361008644104,0.3422536551952362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9726666666666667,0.08399137814839681,0.018261504747991233,1.7823151999909896,fast_sequential_malicious_update_subtraction_over_unlearning_judge_benchmark_extra_training,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forward,0,0.01,12,13,1,12,1.1843582391738892,0.89,0.28495223490397137,"r=0,N=20,J=4,norm=0.173482,prev_acc=0.974667,cur_acc=0.974667,accepted=1,stopped=0;r=1,N=20,J=4,norm=0.170193,prev_acc=0.974667,cur_acc=0.971333,accepted=1,stopped=0;r=2,N=20,J=4,norm=0.16104,prev_acc=0.971333,cur_acc=0.971333,accepted=1,stopped=0;r=3,N=20,J=4,norm=0.14145,prev_acc=0.971333,cur_acc=0.968667,accepted=1,stopped=0;r=4,N=20,J=4,norm=0.12359,prev_acc=0.968667,cur_acc=0.963333,accepted=1,stopped=0;r=5,N=20,J=4,norm=0.115273,prev_acc=0.963333,cur_acc=0.956667,accepted=1,stopped=0;r=6,N=20,J=4,norm=0.0989942,prev_acc=0.956667,cur_acc=0.952000,accepted=1,stopped=0;r=7,N=20,J=4,norm=0.098262,prev_acc=0.952000,cur_acc=0.937333,accepted=0,stopped=0;r=8,N=20,J=4,norm=0.0905727,prev_acc=0.937333,cur_acc=0.927333,accepted=1,stopped=0;r=9,N=20,J=4,norm=0.0639278,prev_acc=0.927333,cur_acc=0.918000,accepted=1,stopped=0;r=10,N=20,J=4,norm=0.0681988,prev_acc=0.918000,cur_acc=0.906000,accepted=0,stopped=0;r=11,N=20,J=4,norm=0.0591402,prev_acc=0.906000,cur_acc=0.890000,accepted=0,stopped=0;r=12,N=20,J=4,norm=0.0534568,prev_acc=0.890000,cur_acc=0.876000,accepted=0,stopped=1",0;1;2;3,detected_malicious_clients,4,0.02,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.9613333333333334,0.11458025868733723,0.004382761139517896,13.110897500009742,mccfed_detection_contribution_metric_K_regularized_federated_unlearning,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1;2;6;8;9;10;13;17;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1;2;3,0.3,0.75,3,7,1,kmeans_equal_size_farthest_distance_cluster,0:0.870780;1:0.842541;2:0.886960;3:1.040242;4:1.304865;5:1.222679;6:0.787430;7:1.060434;8:0.818507;9:0.922480;10:0.979824;11:1.092963;12:1.246494;13:0.749576;14:1.096748;15:1.140501;16:1.088836;17:0.799291;18:1.057436;19:0.991413,1.3149971842765809,1.27726548910141,1.3807470434904099,0:1.280845;1:1.281629;2:1.281033;6:1.271949;8:1.274762;9:1.285702;10:1.275327;13:1.270105;17:1.275757;19:1.275547,0.01,1.0,1.0,repel_malicious,10,10,False,-1,10,detected_historical_contribution_removed,3.379408121109009,600,1.314997;1.252792;1.236044;1.234573;1.237646;1.241825;1.248716;1.255617;1.262482;1.269533;1.277265,"round=0,K_before=1.314997,K_after=1.252792,benign_clients=10|round=1,K_before=1.252792,K_after=1.236044,benign_clients=10|round=2,K_before=1.236044,K_after=1.234573,benign_clients=10|round=3,K_before=1.234573,K_after=1.237646,benign_clients=10|round=4,K_before=1.237646,K_after=1.241825,benign_clients=10|round=5,K_before=1.241825,K_after=1.248716,benign_clients=10|round=6,K_before=1.248716,K_after=1.255617,benign_clients=10|round=7,K_before=1.255617,K_after=1.262482,benign_clients=10|round=8,K_before=1.262482,K_after=1.269533,benign_clients=10|round=9,K_before=1.269533,K_after=1.277265,benign_clients=10"
attack_robustness,Attack-type and trigger-variant comparison.,"asr, asr_drop_vs_poisoned, clean_acc, method-specific detection fields",mnist_dirichlet_alpha05_backdoor_plus,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,plus,bottom_right,test_split,0.5,Poisoned,0.9726666666666667,0.08092316500345866,0.997808619430241,146.3514002999873,trained_with_malicious_clients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
