experiment,experiment_description,metric_focus,scenario,dataset,partition,dirichlet_alpha,model,train_size,test_size,num_clients,malicious_clients,global_rounds,local_epochs,attack,attack_scale,poison_fraction,trigger_pattern,trigger_position,public_source,public_fraction,method,clean_acc,clean_loss,asr,runtime_sec,history_storage_mb,clean_acc_delta_vs_poisoned,asr_drop_vs_poisoned,clean_acc_gap_to_retrain,asr_gap_to_retrain
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9793333333333333,0.06462724844614665,0.9992695398100804,132.38605739999912,,0.0,0.0,0.004666666666666597,0.9978086194302411
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.9746666666666667,0.07011175441741943,0.0014609203798392988,104.67478390000178,484.6160888671875,-0.004666666666666597,0.9978086194302411,0.0,0.0
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.98,0.07024824078877767,0.0,67.56482030000188,484.6160888671875,0.0006666666666667043,0.9992695398100804,0.005333333333333301,0.0014609203798392988
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.976,0.06993058840433757,0.997808619430241,61.77324919999228,484.6160888671875,-0.0033333333333332993,0.0014609203798393589,0.0013333333333332975,0.9963476990504018
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.9706666666666667,0.10862506357828776,0.008765522279035792,16.392604599997867,484.6160888671875,-0.0086666666666666,0.9905040175310446,0.0040000000000000036,0.007304601899196493
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9673333333333334,0.10621974563598632,0.1344046749452155,5.601106100017205,484.6160888671875,-0.0119999999999999,0.8648648648648649,0.007333333333333303,0.1329437545653762
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.974,0.08661511548360189,0.0007304601899196494,0.7499457999947481,484.6160888671875,-0.005333333333333301,0.9985390796201608,0.0006666666666667043,0.0007304601899196494
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9706666666666667,0.10316664822896322,0.0,6.315153000003193,484.6160888671875,-0.0086666666666666,0.9992695398100804,0.0040000000000000036,0.0014609203798392988
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_iid_backdoor_square,mnist,iid,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.9793333333333333,0.07213585662841797,0.0,16.456057299976237,484.6160888671875,0.0,0.9992695398100804,0.004666666666666597,0.0014609203798392988
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9773333333333334,0.07131095186869303,0.9956172388604821,140.5176834000158,,0.0,0.0,0.002666666666666706,0.9919649379108839
