experiment,experiment_description,metric_focus,scenario,dataset,partition,dirichlet_alpha,model,train_size,test_size,num_clients,malicious_clients,global_rounds,local_epochs,attack,attack_scale,poison_fraction,trigger_pattern,trigger_position,public_source,public_fraction,method,clean_acc,clean_loss,asr,runtime_sec,method_note,history_storage_mb,fedrecover_warmup_rounds,fedrecover_requested_warmup_rounds,fedrecover_warmup_adjusted_to_satisfy_Tw_gt_s,fedrecover_correction_period,fedrecover_final_tuning_rounds,fedrecover_requested_final_tuning_rounds,fedrecover_lbfgs_buffer_size,fedrecover_tau,fedrecover_tolerance_rate,fedrecover_update_convention,exact_rounds,estimated_rounds,periodic_rounds,final_tuning_rounds,exact_client_updates,estimated_client_updates,abnormality_fixes,fallback_exact_updates,train_from_scratch_client_updates,average_cost_saving_percentage,crab_adaptive_rollback_round,crab_sensitivity_threshold,crab_cumulative_sensitivity,crab_cumulative_retained_norm,crab_sensitivity_considered_rounds,crab_rollback_policy,selected_rounds,selected_round_ids,used_clients,skipped_rounds,calibration_rounds,selected_clients_by_round,remaining_selected_clients_by_round,crab_windows,crab_num_windows,crab_train_loss_first,crab_train_loss_last,crab_select_round_ratio,crab_select_client_ratio,crab_loss_drop_alpha,crab_removed_client_source,crab_removed_clients,crab_recovery_mode,fedup_rate_limit_rounds,fedup_last_unlearning_round,fedup_detection_round,fedup_rate_limit_allowed,fedup_reference_history_index,fedup_reference_round,fedup_local_model_source,fedup_update_convention,fedup_similarity,fedup_similarity_z,fedup_similarity_source,fedup_p_min,fedup_p_max,fedup_gamma,fedup_detection_source,fedup_remaining_source,fedup_global_before_source,fedup_detected_unlearn_clients,fedup_remaining_clients,fedup_unlearn_last_round,fedup_remaining_last_round,fedup_benign_majority_assumption_ok,pruned_params,prunable_params,total_params,prune_ratio,fedup_prune_policy,fedup_layer_pruned,fedup_recovery_rounds,fedup_recovery_round_bound,fedup_recovery_round_policy,fedup_recovery_optimizer,fedup_recovery_lr,fedup_recovery_local_epochs,fedup_last_round_storage_bytes,fedup_last_round_storage_mb,detected_malicious,fedsweep_true_malicious,fedsweep_precision,fedsweep_recall,fedsweep_true_positive,fedsweep_false_positive,fedsweep_false_negative,fedsweep_entropies,fedsweep_entropy_norm,fedsweep_clusters,fedsweep_updated_credit,fedsweep_trigger_loss,fedsweep_trigger_ce,fedsweep_trigger_reg,fedsweep_trigger_l1_norm,fedsweep_trigger_tv_loss,fedsweep_trigger_delta_mean,fedsweep_trigger_delta_max,fedsweep_trigger_active_pixels,fedsweep_trigger_generator,fedsweep_trigger_position,fedsweep_credit_usage,fedsweep_trigger_success,fedsweep_unlearned_clients,fedsweep_unlearn_epochs,fedsweep_unlearn_lr,fedsweep_feature_weight,fedsweep_clean_weight,fedsweep_reference_history_index,fedsweep_defense_round,fedsweep_reference_round,fedsweep_reference_clients,fedsweep_local_model_source,fedsweep_paper_faithful_step4_loader,unlearning_backdoor_step1,unlearning_backdoor_step2,unlearning_backdoor_alpha,unlearning_backdoor_temperature,unlearning_backdoor_kd_epochs,unlearning_backdoor_kd_lr,unlearning_backdoor_optimizer,unlearning_backdoor_public_batches,unlearning_backdoor_kd_mean_loss,unlearning_backdoor_kd_mean_kl,unlearning_backdoor_kd_mean_ce,ul_subtract_clean_acc,ul_subtract_clean_loss,ul_subtract_asr,removed_clients,removed_client_source,aggregation_warning,removed_update_count,attacker_participating_rounds,sum_removed_update_norms,removed_norm,stored_client_summaries,removed_norm_client_0,removed_norm_client_1,removed_norm_client_2,removed_norm_client_3,fast_unlearning_order,fast_weighted_contribution,fast_over_unlearning_tolerance,fast_accepted_rounds,fast_considered_rounds,fast_stopped_early,fast_stop_round,fast_removed_norm,fast_benchmark_acc_before_extra,fast_benchmark_loss_before_extra,fast_step_trace,fast_target_clients,fast_target_client_source,fast_extra_epochs,fast_extra_lr,fast_extra_optimizer,true_malicious,mcc_detection_precision,mcc_detection_recall,mcc_detection_tp,mcc_detection_fp,mcc_detection_fn,mcc_detection_policy,mcc_detection_scores,mcc_initial_K,mcc_final_K,mcc_tau,mcc_per_client_K,mcc_noise_std,mcc_alpha,mcc_regularization_scale,mcc_regularization_mode,mcc_unlearn_rounds_run,mcc_unlearn_rounds_max,mcc_stopped_by_tau,mcc_stop_round,mcc_benign_clients_used,mcc_contribution_init,mcc_contribution_removed_norm,mcc_contribution_removed_updates,mcc_K_trace,mcc_round_trace
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,1.0,0.00011675704394777616,1.0,64.75811249998515,trained_with_malicious_clients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,1.0,0.00010497923071185748,0.0,39.03067259999807,,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,1.0,0.00011306080718835194,0.0,30.740818099991884,fedrecover_paper_faithful_lbfgs_warmup_periodic_abnormality_final_tuning,484.6160888671875,20,20,False,10,6,6,2,0.20542439818382263,1e-06,delta,29,31,3,6,468,496,4,0,960,51.24999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,1.0,0.0008149028917153676,0.0,21.659436199988704,official_crab_selection_adaptive_rollback_norm_calibrated_update_recovery,484.6160888671875,,,,,,,,,,,,,,,,,,,,,0,0.05,0.9234649767167866,3.7567091623786837,36,latest_round_under_cumulative_beta_bound,36,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,31,35,37,40,42,44,46,49,50,52,53,55,57",473,0,36,"0:4,19,5,14,9,15,7,1,6,12,13,16,0,17;1:19,6,14,5,7,4,9,15,17,16,8,12,13,10;2:19,6,14,5,7,12,8,10,9,4,16,15,1,13;3:1,19,6,5,14,3,9,16,7,0,4,17,8,15;4:1,3,2,0,19,6,14,5,9,7,15,4,8,12;5:1,3,0,2,14,19,10,6,4,18,12,9,7,5;6:19,6,14,5,7,4,8,9,12,10,17,15,13,16;7:19,6,14,5,4,7,8,10,9,12,15,17,13,16;8:19,6,14,5,4,7,10,8,12,9,17,1,15,13;9:19,6,14,5,4,7,10,9,12,8,1,17,15,13;10:19,6,14,10,5,4,7,1,12,9,8,17,13,15;11:19,6,14,10,5,4,7,8,12,1,9,17,15,13;12:6,19,10,14,5,4,7,1,12,8,9,17,13,15;13:6,19,10,14,5,4,7,1,9,12,8,17,16,13;14:6,19,10,5,14,4,7,8,12,1,9,17,18,15;15:10,19,6,14,5,4,7,1,8,12,9,17,13,18;16:6,10,19,5,14,7,4,12,1,8,9,17,13,16;18:6,19,10,5,14,7,4,8,12,1,9,17,13,16;20:10,6,19,5,14,4,7,12,8,1,9,17,13,16;22:6,10,19,14,5,7,4,12,8,9,1,17,18,13;24:6,10,14,19,7,5,8,12,4,9,17,1,16,18;26:6,10,19,5,7,14,4,8,12,17,9,1,13,16;28:6,10,19,14,5,7,4,8,12,9,17,1,13,18;31:6,10,19,5,14,4,7,8,12,17,9,13,1,16;35:6,10,19,5,14,7,4,8,12,9,17,13,18,16;37:10,6,19,7,14,5,4,8,12,17,9,13,1,18;40:10,6,5,19,14,4,7,8,12,17,9,13,16,18;42:6,10,19,5,7,14,8,4,12,17,9,13,18,15;44:10,6,5,19,7,14,4,8,12,17,9,13,16,18;46:6,10,5,19,14,7,4,8,17,12,9,18,13,16;49:6,10,5,19,14,7,8,4,17,12,9,18,13,16;50:10,6,5,19,4,7,14,8,12,9,17,13,16,18;52:10,6,5,19,7,14,4,8,17,12,9,16,18,13;53:10,6,19,5,14,4,7,8,17,12,9,13,18,16;55:6,5,10,19,8,4,14,7,12,17,9,18,16,13;57:6,10,5,19,7,8,14,4,12,9,17,18,13,16","0:4,19,5,14,9,15,7,6,12,13,16,17;1:19,6,14,5,7,4,9,15,17,16,8,12,13,10;2:19,6,14,5,7,12,8,10,9,4,16,15,13;3:19,6,5,14,9,16,7,4,17,8,15;4:19,6,14,5,9,7,15,4,8,12;5:14,19,10,6,4,18,12,9,7,5;6:19,6,14,5,7,4,8,9,12,10,17,15,13,16;7:19,6,14,5,4,7,8,10,9,12,15,17,13,16;8:19,6,14,5,4,7,10,8,12,9,17,15,13;9:19,6,14,5,4,7,10,9,12,8,17,15,13;10:19,6,14,10,5,4,7,12,9,8,17,13,15;11:19,6,14,10,5,4,7,8,12,9,17,15,13;12:6,19,10,14,5,4,7,12,8,9,17,13,15;13:6,19,10,14,5,4,7,9,12,8,17,16,13;14:6,19,10,5,14,4,7,8,12,9,17,18,15;15:10,19,6,14,5,4,7,8,12,9,17,13,18;16:6,10,19,5,14,7,4,12,8,9,17,13,16;18:6,19,10,5,14,7,4,8,12,9,17,13,16;20:10,6,19,5,14,4,7,12,8,9,17,13,16;22:6,10,19,14,5,7,4,12,8,9,17,18,13;24:6,10,14,19,7,5,8,12,4,9,17,16,18;26:6,10,19,5,7,14,4,8,12,17,9,13,16;28:6,10,19,14,5,7,4,8,12,9,17,13,18;31:6,10,19,5,14,4,7,8,12,17,9,13,16;35:6,10,19,5,14,7,4,8,12,9,17,13,18,16;37:10,6,19,7,14,5,4,8,12,17,9,13,18;40:10,6,5,19,14,4,7,8,12,17,9,13,16,18;42:6,10,19,5,7,14,8,4,12,17,9,13,18,15;44:10,6,5,19,7,14,4,8,12,17,9,13,16,18;46:6,10,5,19,14,7,4,8,17,12,9,18,13,16;49:6,10,5,19,14,7,8,4,17,12,9,18,13,16;50:10,6,5,19,4,7,14,8,12,9,17,13,16,18;52:10,6,5,19,7,14,4,8,17,12,9,16,18,13;53:10,6,19,5,14,4,7,8,17,12,9,13,18,16;55:6,5,10,19,8,4,14,7,12,17,9,18,16,13;57:6,10,5,19,7,8,14,4,12,9,17,18,13,16","start=0,end=1,start_loss=2.304712,end_loss=1.917332,selected=0;start=1,end=2,start_loss=1.917332,end_loss=0.269928,selected=1;start=2,end=3,start_loss=0.269928,end_loss=0.044333,selected=2;start=3,end=4,start_loss=0.044333,end_loss=0.018955,selected=3;start=4,end=5,start_loss=0.018955,end_loss=0.010130,selected=4;start=5,end=6,start_loss=0.010130,end_loss=0.006587,selected=5;start=6,end=7,start_loss=0.006587,end_loss=0.003998,selected=6;start=7,end=8,start_loss=0.003998,end_loss=0.002809,selected=7;start=8,end=9,start_loss=0.002809,end_loss=0.002142,selected=8;start=9,end=10,start_loss=0.002142,end_loss=0.001717,selected=9;start=10,end=11,start_loss=0.001717,end_loss=0.001426,selected=10;start=11,end=12,start_loss=0.001426,end_loss=0.001212,selected=11;start=12,end=13,start_loss=0.001212,end_loss=0.001051,selected=12;start=13,end=14,start_loss=0.001051,end_loss=0.000925,selected=13;start=14,end=15,start_loss=0.000925,end_loss=0.000825,selected=14;start=15,end=16,start_loss=0.000825,end_loss=0.000741,selected=15;start=16,end=18,start_loss=0.000741,end_loss=0.000614,selected=16;start=18,end=20,start_loss=0.000614,end_loss=0.000522,selected=18;start=20,end=22,start_loss=0.000522,end_loss=0.000451,selected=20;start=22,end=24,start_loss=0.000451,end_loss=0.000397,selected=22;start=24,end=26,start_loss=0.000397,end_loss=0.000353,selected=24;start=26,end=28,start_loss=0.000353,end_loss=0.000317,selected=26;start=28,end=31,start_loss=0.000317,end_loss=0.000274,selected=28;start=31,end=34,start_loss=0.000274,end_loss=0.000240,selected=31;start=34,end=37,start_loss=0.000240,end_loss=0.000214,selected=35;start=37,end=40,start_loss=0.000214,end_loss=0.000192,selected=37;start=40,end=44,start_loss=0.000192,end_loss=0.000169,selected=40,42;start=44,end=48,start_loss=0.000169,end_loss=0.000150,selected=46,44;start=48,end=52,start_loss=0.000150,end_loss=0.000135,selected=49,50;start=52,end=57,start_loss=0.000135,end_loss=0.000119,selected=53,55,52;start=57,end=59,start_loss=0.000119,end_loss=0.000114,selected=57",31,2.3047116742451985,0.00011411536413943395,0.6,0.7,0.1,detected_malicious_clients,"0,1,2,3",adaptive_rollback_chained_selective_recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,1.0,0.0,0.0,6.60015939999721,fedup_algorithm1_algorithm2_detected_clients_autoP_rate_limit_recovery,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-1000000000,59,1,59,59,local_model_vectors,model,0.99999936881922,0.99999873763844,model,0.01,0.15,5.0,context_detector_output,all_clients_minus_detected,record_global_before,4,16,4,16,1,15863,105744,105866,0.149999116349139,auto_similarity_paper_formula,"{'features.0.weight': 22, 'features.3.weight': 692, 'classifier.1.weight': 15053, 'classifier.3.weight': 96}",9,9,paper_bound_ceil_Rstar_times_P,adam,0.001,2,8892744,8.480781555175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,1.0,0.00017105857531229656,0.2233651726671565,4.126262100005988,strict_v3_1_fedsweep_trigger_inversion_entropy_credit_weighted_kmeans_feature_unlearning_formal_aggregation,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1;2;3,0;1;2;3,1.0,1.0,4,0,0,0:0.008999;1:0.008077;2:0.009503;3:0.008192;4:0.013147;5:0.011598;6:0.011968;7:0.012900;8:0.011604;9:0.011801;10:0.012452;11:0.012754;12:0.012153;13:0.010952;14:0.011271;15:0.012818;16:0.011379;17:0.013482;18:0.012611;19:0.013799,0:0.161;1:0.000;2:0.249;3:0.020;4:0.886;5:0.615;6:0.680;7:0.843;8:0.616;9:0.651;10:0.765;11:0.817;12:0.712;13:0.502;14:0.558;15:0.828;16:0.577;17:0.945;18:0.792;19:1.000,0:0;1:0;2:0;3:0;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1;19:1,0:0.900;1:0.900;2:0.900;3:0.900;4:1.000;5:1.000;6:1.000;7:1.000;8:1.000;9:1.000;10:1.000;11:1.000;12:1.000;13:1.000;14:1.000;15:1.000;16:1.000;17:1.000;18:1.000;19:1.000,0.015349356457591057,0.001833810587413609,0.01351554598659277,13.515544891357422,0.00903185736387968,0.017239214852452278,0.8489991426467896,16,patch,bottom_right,feature_and_sample_weight,1,4,2,0.003,0.3,2.0,59,-1,59,20,stored_history_record,public_clean_loader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,1.0,0.0001336063308020433,0.0,0.24972329998854548,paper_faithful_historical_update_subtraction_plus_clean_kd,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL-Subtract,UL-Distill,1.0,2.0,4,0.02,sgd,96,0.040951801180199254,0.040951801180199254,0.0,0.9073333333333333,0.43227635192871094,0.0,0;1;2;3,detected_malicious_clients,,240.0,60.0,1.4674532987264683,1.0853384733200073,4.0,0.3060864508152008,0.5874356627464294,0.1053888127207756,0.1699001044034958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,1.0,0.0012330512007077536,0.0,0.41194479999830946,fast_sequential_malicious_update_subtraction_over_unlearning_judge_benchmark_extra_training,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forward,0,0.01,11,12,1,11,0.8507192134857178,0.94,0.11117690261205038,"r=0,N=20,J=4,norm=0.180566,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=1,N=20,J=4,norm=0.199269,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=2,N=20,J=4,norm=0.178446,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=3,N=20,J=4,norm=0.16543,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=4,N=20,J=4,norm=0.12293,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=5,N=20,J=4,norm=0.11368,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=6,N=20,J=4,norm=0.0209285,prev_acc=1.000000,cur_acc=1.000000,accepted=1,stopped=0;r=7,N=20,J=4,norm=0.0172963,prev_acc=1.000000,cur_acc=0.994667,accepted=1,stopped=0;r=8,N=20,J=4,norm=0.0151024,prev_acc=0.994667,cur_acc=0.988667,accepted=1,stopped=0;r=9,N=20,J=4,norm=0.0132768,prev_acc=0.988667,cur_acc=0.965333,accepted=0,stopped=0;r=10,N=20,J=4,norm=0.0121224,prev_acc=0.965333,cur_acc=0.940000,accepted=0,stopped=0;r=11,N=20,J=4,norm=0.0108339,prev_acc=0.940000,cur_acc=0.918000,accepted=0,stopped=1",0;1;2;3,detected_malicious_clients,4,0.02,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,1.0,0.0005141603052616119,0.0,8.344178100000136,mccfed_detection_contribution_metric_K_regularized_federated_unlearning,484.6160888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1;2;3,1.0,0.75,3,0,1,kmeans_malicious_minority_distance_cluster,0:1.618360;1:1.871806;2:1.162704;3:1.891558;4:1.112210;5:1.126059;6:0.737836;7:0.636915;8:0.576809;9:0.919669;10:0.500587;11:0.832174;12:0.886983;13:0.958180;14:0.815851;15:1.057300;16:0.931808;17:0.649985;18:0.601208;19:1.111999,1.0390540758768718,1.0448296864827473,1.0910067796707155,0:1.045250;1:1.046761;3:1.042478,0.01,1.0,1.0,repel_malicious,10,10,False,-1,17,detected_historical_contribution_removed,0.9924113750457764,180,1.039054;1.034620;1.035174;1.036108;1.037198;1.038375;1.039607;1.040877;1.042175;1.043494;1.044830,"round=0,K_before=1.039054,K_after=1.034620,benign_clients=17|round=1,K_before=1.034620,K_after=1.035174,benign_clients=17|round=2,K_before=1.035174,K_after=1.036108,benign_clients=17|round=3,K_before=1.036108,K_after=1.037198,benign_clients=17|round=4,K_before=1.037198,K_after=1.038375,benign_clients=17|round=5,K_before=1.038375,K_after=1.039607,benign_clients=17|round=6,K_before=1.039607,K_after=1.040877,benign_clients=17|round=7,K_before=1.040877,K_after=1.042175,benign_clients=17|round=8,K_before=1.042175,K_after=1.043494,benign_clients=17|round=9,K_before=1.043494,K_after=1.044830,benign_clients=17"
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9713333333333334,0.08046312395731609,0.9992695398100804,142.93602300001658,trained_with_malicious_clients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
